idx,listing_id,host_id,host_name,review_scores_rating,bedrooms,beds,bathrooms,region,price,accommodates,minimum_nights
123,760380203954862274,249538647,Hotel MONday Premium Toyosu,5.0,1.0,1.0,1 shared bath,Koto Ku,"$14,017.00",2,1
124,760383923485507072,249538647,Hotel MONday Premium Toyosu,5.0,1.0,3.0,1 shared bath,Koto Ku,"$15,667.00",3,1
125,760385495874918512,249538647,Hotel MONday Premium Toyosu,5.0,1.0,2.0,1 shared bath,Koto Ku,"$14,567.00",2,1
126,760393926344963788,249538647,Hotel MONday Premium Toyosu,5.0,1.0,2.0,1 shared bath,Koto Ku,"$15,942.00",2,1
127,760397904251135051,249538647,Hotel MONday Premium Toyosu,5.0,1.0,3.0,1 shared bath,Koto Ku,"$16,217.00",3,1
128,760403157891078536,249538647,Hotel MONday Premium Toyosu,5.0,1.0,3.0,1 shared bath,Koto Ku,"$16,217.00",3,1
129,760412724054972539,375928519,西沢,5.0,1.0,2.0,1 shared bath,Chiyoda Ku,"$40,000.00",2,1
130,669335393184181445,469036720,Momoe,5.0,1.0,2.0,1.5 baths,Toshima Ku,"$9,286.00",4,4
131,669155900386196346,462983474,Stayme,5.0,1.0,1.0,1 bath,Shinjuku Ku,"$7,444.00",2,2
132,770527267293543385,486130642,Stayme,5.0,1.0,2.0,1 bath,Sumida Ku,"$7,869.00",3,2
133,32884217,115399232,Shrestha,5.0,1.0,3.0,1 private bath,Taito Ku,"$12,000.00",4,1
134,559944586921724885,400808166,Real,5.0,1.0,1.0,1 private bath,Shinjuku Ku,"$9,383.00",2,1
135,32851119,219787031,William,5.0,3.0,3.0,1.5 baths,Sumida Ku,"$993,065.00",4,180
136,567543529081723161,402335966,ﾌｭｰﾁｬｰﾘｰﾃﾞｨﾝｸﾞ,5.0,1.0,2.0,1 bath,Kita Ku,"$11,451.00",4,2
137,570447111013344717,402335966,ﾌｭｰﾁｬｰﾘｰﾃﾞｨﾝｸﾞ,5.0,1.0,1.0,1 bath,Kita Ku,"$10,286.00",2,2
138,570471911139284000,402335966,ﾌｭｰﾁｬｰﾘｰﾃﾞｨﾝｸﾞ,5.0,1.0,1.0,1 bath,Bunkyo Ku,"$10,457.00",2,2
139,570607680992585931,402335966,ﾌｭｰﾁｬｰﾘｰﾃﾞｨﾝｸﾞ,5.0,1.0,1.0,1 bath,Bunkyo Ku,"$11,914.00",2,2
140,572231458398582670,74535093,Miho,5.0,2.0,4.0,1 bath,Shinjuku Ku,"$41,686.00",8,1
141,32732484,28621978,Dan,5.0,nan,1.0,1 shared bath,Shinagawa Ku,"$6,000.00",2,5
142,577085018883399578,110379659,Wang,5.0,1.0,1.0,1 bath,Shinjuku Ku,"$15,585.00",2,1
143,577813420900350508,402335966,ﾌｭｰﾁｬｰﾘｰﾃﾞｨﾝｸﾞ,5.0,1.0,1.0,1 private bath,Taito Ku,"$13,543.00",2,1
144,32722859,87035758,Maya,5.0,nan,1.0,1 shared bath,Edogawa Ku,"$6,000.00",1,1
145,578560543646130369,110379659,Wang,5.0,1.0,1.0,1 bath,Shinjuku Ku,"$15,585.00",2,1
146,579123380750633240,402335966,ﾌｭｰﾁｬｰﾘｰﾃﾞｨﾝｸﾞ,5.0,1.0,1.0,1 private bath,Taito Ku,"$13,543.00",2,1
147,579144822711585130,402335966,ﾌｭｰﾁｬｰﾘｰﾃﾞｨﾝｸﾞ,5.0,1.0,1.0,1 private bath,Taito Ku,"$13,543.00",2,1
148,32647805,211411086,千恵,5.0,3.0,7.0,1 bath,Mitaka Shi,"$30,035.00",11,30
149,582751754125580818,42815177,Ushka,5.0,2.0,3.0,1 bath,Shibuya Ku,"$27,000.00",4,1
150,32603146,83618421,Aya,5.0,8.0,14.0,7 baths,Taito Ku,"$123,000.00",16,2
151,32577999,241361985,洋二,5.0,2.0,3.0,1 bath,Toshima Ku,"$20,000.00",4,3
152,583555594650086363,401303836,MONday Apart,5.0,1.0,3.0,1 private bath,Taito Ku,"$39,836.00",4,1
153,32561695,83618421,Aya,5.0,1.0,2.0,1 private bath,Taito Ku,"$17,000.00",4,1
154,32561399,83618421,Aya,5.0,1.0,2.0,1 private bath,Taito Ku,"$17,000.00",4,1
155,32554990,229209805,Hostel Bedgasm,5.0,1.0,10.0,nan,Taito Ku,"$4,000.00",1,1
156,588056075250359845,68939316,Scott,5.0,4.0,10.0,4 baths,Arakawa Ku,"$35,986.00",8,1
157,32529236,194623996,西尾nishio,5.0,nan,1.0,1 shared bath,Ome Shi,"$2,600.00",5,1
158,594144673227641718,451581302,Eichi,5.0,1.0,1.0,1 private bath,Sumida Ku,"$5,100.00",1,1
159,594563247868673799,331685051,大寺,5.0,1.0,2.0,1 bath,Kunitachi Shi,"$4,286.00",2,1
160,32460110,49676840,Akira&Yasuko,5.0,1.0,1.0,1 bath,Shinjuku Ku,"$14,000.00",2,1
161,32458436,49676840,Akira&Yasuko,5.0,1.0,2.0,1 bath,Shinjuku Ku,"$15,571.00",2,1
162,598898880799609452,230596939,Miwa,5.0,1.0,2.0,1 bath,Shinjuku Ku,"$16,714.00",4,1
163,32857578,61059317,静依,5.0,3.0,8.0,2 baths,Shinjuku Ku,"$31,714.00",7,1
164,557037159997277251,74535093,Miho,5.0,1.0,1.0,1 bath,Shinjuku Ku,"$19,543.00",2,1
165,599498878394185085,141952115,Obi,5.0,nan,4.0,5 shared baths,Chuo Ku,"$22,571.00",4,1
166,32925618,123167202,Kai,5.0,4.0,5.0,2 baths,Shinjuku Ku,"$56,429.00",13,2
167,53759151,375928519,西沢,5.0,1.0,nan,1 private bath,Taito Ku,"$31,429.00",4,1
168,53759260,375928519,西沢,5.0,1.0,2.0,1 shared bath,Taito Ku,"$31,429.00",4,1
169,53759370,375928519,西沢,5.0,1.0,nan,1 shared bath,Taito Ku,"$31,429.00",4,1
170,53761108,425999056,上野御徒町,5.0,1.0,nan,1 private bath,Taito Ku,"$49,264.00",5,1
171,53761528,435425440,BnA STUDIO Akihabara,5.0,1.0,2.0,1 private bath,Bunkyo Ku,"$41,000.00",4,1
172,53791327,74535093,Miho,5.0,1.0,3.0,1 bath,Shinjuku Ku,"$22,943.00",5,1
173,53799134,435425440,BnA STUDIO Akihabara,5.0,1.0,1.0,1 private bath,Chiyoda Ku,"$32,457.00",2,1
174,53799375,435425440,BnA STUDIO Akihabara,5.0,1.0,1.0,1 private bath,Bunkyo Ku,"$28,857.00",2,1
175,53800022,152645240,Minorasu,5.0,1.0,1.0,1 bath,Ota Ku,"$11,714.00",2,3
176,53805370,74535093,Miho,5.0,1.0,2.0,1 bath,Shinjuku Ku,"$21,514.00",3,1
177,53817618,321180412,Ostay-Yamato,5.0,2.0,2.0,1.5 baths,Nakano Ku,"$16,171.00",4,1
178,53841798,74535093,Miho,5.0,1.0,2.0,1 bath,Shinjuku Ku,"$18,800.00",2,1
179,53870971,433395359,Wild Cherry Blossom -HOSTEL,5.0,1.0,2.0,1 shared bath,Koganei Shi,"$14,300.00",2,1
