user_id,review_scores_rating,bedrooms,beds,bathrooms,region,price,accommodates,minimum_nights
247,5.0,1.0,1.0,1 private bath,Taito Ku,11566.00,2,2
248,5.0,1.0,1.0,1 private bath,Taito Ku,8217.00,2,2
249,5.0,4.0,4.0,2 baths,Katsushika Ku,29429.00,8,2
250,5.0,1.0,1.0,1 private bath,Taito Ku,8320.00,1,2
251,5.0,1.0,3.0,1 bath,Sumida Ku,6000.00,4,1
252,5.0,1.0,nan,2 shared baths,Akiruno Shi,10000.00,4,1
253,5.0,1.0,1.0,1 bath,Shinjuku Ku,15912.00,2,3
254,5.0,nan,nan,2 shared baths,Edogawa Ku,21286.00,6,1
255,5.0,nan,4.0,1 shared bath,Sumida Ku,11429.00,3,3
256,5.0,3.0,5.0,2 baths,Shibuya Ku,119019.00,8,3
257,5.0,2.0,4.0,1 bath,Sumida Ku,40536.00,8,4
258,5.0,1.0,nan,1 bath,Ome Shi,25000.00,4,1
259,5.0,1.0,3.0,1 private bath,Arakawa Ku,18943.00,5,1
260,5.0,1.0,3.0,1 private bath,Arakawa Ku,16686.00,5,1
261,5.0,1.0,1.0,1 bath,Setagaya Ku,7944.00,3,29
262,5.0,1.0,8.0,1 shared bath,Taito Ku,99999.00,8,1
263,5.0,1.0,2.0,1 bath,Sumida Ku,7869.00,3,2
264,5.0,1.0,2.0,1 bath,Itabashi Ku,4900.00,2,5
265,5.0,2.0,7.0,1 bath,Shinagawa Ku,31097.00,8,2
266,5.0,nan,4.0,1 private bath,Itabashi Ku,8429.00,4,2
267,5.0,1.0,2.0,1.5 baths,Edogawa Ku,10703.00,5,2
268,5.0,1.0,1.0,1 bath,Shinjuku Ku,7800.00,2,30
269,5.0,1.0,1.0,1 bath,Itabashi Ku,13000.00,3,3
270,5.0,1.0,nan,1.5 shared baths,Itabashi Ku,6729.00,4,2
271,5.0,1.0,1.0,1 bath,Ota Ku,12143.00,2,1
272,5.0,3.0,5.0,1 bath,Arakawa Ku,13786.00,6,2
273,5.0,1.0,3.0,1.5 shared baths,Itabashi Ku,7893.00,3,2
274,5.0,1.0,1.0,1 bath,Chuo Ku,25979.00,3,28
275,5.0,1.0,1.0,1 bath,Chuo Ku,19786.00,2,28
276,5.0,nan,2.0,1.5 shared baths,Komae Shi,5000.00,1,3
277,5.0,3.0,5.0,1 bath,Adachi Ku,34857.00,8,1
278,5.0,1.0,1.0,1 bath,Minato Ku,31050.00,3,1
279,5.0,2.0,7.0,1 bath,Shinjuku Ku,61429.00,10,2
280,5.0,nan,2.0,2 shared baths,Shinjuku Ku,5500.00,2,2
281,5.0,2.0,4.0,2 baths,Sumida Ku,28414.00,8,1
282,5.0,1.0,1.0,1 bath,Toshima Ku,8604.00,2,5
283,5.0,1.0,1.0,1 bath,Toshima Ku,12471.00,2,1
284,5.0,3.0,7.0,2 baths,Shinjuku Ku,49015.00,10,2
285,5.0,1.0,1.0,1 bath,Shibuya Ku,21000.00,4,2
286,5.0,1.0,1.0,1 bath,Ota Ku,14286.00,2,2
287,5.0,1.0,1.0,1 bath,Ota Ku,14286.00,2,1
288,5.0,nan,2.0,1 bath,Setagaya Ku,6902.00,2,2
289,5.0,nan,1.0,1 bath,Setagaya Ku,5684.00,2,1
290,5.0,1.0,3.0,1 bath,Shinjuku Ku,14400.00,5,1
291,5.0,1.0,3.0,1 bath,Itabashi Ku,14914.00,4,2
292,5.0,1.0,3.0,1 bath,Shinjuku Ku,35357.00,6,1
293,5.0,1.0,8.0,1 bath,Shinjuku Ku,17743.00,8,2
294,5.0,3.0,5.0,1.5 baths,Nakano Ku,50000.00,14,2
295,5.0,1.0,2.0,1.5 baths,Toshima Ku,12800.00,2,1
296,5.0,1.0,1.0,1 bath,Taito Ku,19000.00,2,1
297,5.0,1.0,2.0,1 bath,Itabashi Ku,12321.00,3,2
298,5.0,1.0,2.0,1 bath,Toshima Ku,13714.00,2,2
299,5.0,1.0,1.0,1 bath,Shinjuku Ku,55218.00,2,1
300,5.0,2.0,2.0,1 bath,Toshima Ku,12342.00,5,3
301,5.0,3.0,2.0,1 bath,Akiruno Shi,35857.00,10,1
302,5.0,nan,6.0,2 shared baths,Ota Ku,20771.00,6,2
303,5.0,1.0,2.0,1 private bath,Sumida Ku,16829.00,2,1
304,5.0,4.0,4.0,3 baths,Chiyoda Ku,39800.00,11,2
305,5.0,nan,2.0,4 shared baths,Taito Ku,6750.00,1,1
306,5.0,3.0,9.0,2.5 baths,Kita Ku,34854.00,9,2
307,5.0,nan,2.0,2.5 shared baths,Ota Ku,29000.00,4,1
